Year,Owner Move In,Ellis Act Withdrawal,Demolition,Development Agreement,Condo Conversion
1990,1,0,0,0,0
1991,68,0,4,0,2
1992,82,0,3,0,0
1993,145,0,9,0,0
1994,141,0,12,0,0
1995,163,0,16,0,0
1996,343,1,14,0,0
1997,575,1,27,0,0
1998,743,40,30,0,1
1999,427,211,17,0,0
2000,485,124,27,0,2
2001,398,97,44,0,2
2002,275,93,38,0,3
2003,190,63,52,0,4
2004,179,142,30,0,4
2005,131,148,24,0,0
2006,112,124,19,0,2
2007,95,117,18,0,0
2008,77,98,21,0,0
2009,61,21,18,0,1
2010,61,28,18,42,2
2011,69,21,18,0,2
2012,91,45,19,124,5
2013,143,111,59,0,4
2014,149,49,22,0,5
