Year,Roommate Living in Same Unit,Capital Improvement,Substantial Rehabilitation,Good Samaritan Tenancy Ends,Lead Remediation
1990,0,0,0,0,0
1991,0,2,0,0,0
1992,0,2,10,0,0
1993,0,6,1,0,0
1994,0,11,3,0,0
1995,0,8,8,0,0
1996,0,21,12,0,0
1997,0,28,18,0,0
1998,0,13,8,0,0
1999,0,31,1,0,0
2000,0,37,2,0,0
2001,0,25,2,0,0
2002,0,37,1,0,0
2003,0,15,0,0,0
2004,0,21,0,0,0
2005,0,41,0,0,0
2006,0,35,3,0,0
2007,0,21,0,0,1
2008,0,15,0,0,0
2009,0,14,0,0,2
2010,0,6,0,0,0
2011,0,28,1,0,0
2012,0,10,0,1,0
2013,0,13,5,0,0
2014,0,19,0,0,0
