Year,Breach of Lease Agreement,Nuisance,Non-payment of rent or habitual late payment of rent,Illegal Use of Unit,Unapproved Subtenant
1989,0,0,1,0,0
1990,1,0,1,0,1
1991,35,43,25,4,15
1992,38,49,31,1,8
1993,60,87,52,5,11
1994,57,97,66,6,7
1995,67,98,62,5,9
1996,111,122,65,28,20
1997,172,115,64,7,34
1998,158,118,69,6,54
1999,146,118,73,12,96
2000,187,139,52,18,14
2001,186,128,43,14,12
2002,126,112,47,11,4
2003,142,130,69,7,5
2004,105,105,40,10,9
2005,147,163,35,12,6
2006,136,139,48,27,11
2007,179,154,55,14,7
2008,182,162,57,19,9
2009,209,129,54,11,12
2010,219,147,34,13,5
2011,244,113,50,10,9
2012,187,174,30,19,9
2013,276,171,40,21,9
2014,339,176,59,39,8
